exception_id,object_type,object_id,plant,exception_type,severity,risk_score,evidence,root_cause,recommended_action,owner,related_models,status
EXC0069,物料,M0035,华东工厂,PR_NOT_CONVERTED,High,55,缺口=2228，PR数量=2250，LT=14天,净需求已形成但PR尚未转PO,采购立即确认供应商、价格及交期并完成PR转PO,采购,P001,待处理
EXC0075,物料,M0039,华东工厂,PO_LATE,High,55,需求周=W2，PO ETA=W9，在途=8534,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P001,待处理
EXC0077,物料,M0040,华东工厂,PR_NOT_CONVERTED,High,55,缺口=16806，PR数量=16900，LT=3天,净需求已形成但PR尚未转PO,采购立即确认供应商、价格及交期并完成PR转PO,采购,P001;P004,待处理
EXC0088,物料,M0047,华南工厂,PO_LATE,High,55,需求周=W7，PO ETA=W9，在途=57570,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P002,待处理
EXC0093,物料,M0052,华东工厂,PO_LATE,High,55,需求周=W4，PO ETA=W10，在途=859,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P003,待处理
EXC0103,物料,M0066,华东工厂,PO_LATE,High,55,需求周=W4，PO ETA=W9，在途=5115,供应商确认交期晚于物料需求日期,采购确认提前交付/拆单；计划评估替代料或调整排产,采购,P009;P011,待处理
EXC0107,物料,M0070,华东工厂,PR_NOT_CONVERTED,High,55,缺口=300，PR数量=300，LT=7天,净需求已形成但PR尚未转PO,采购立即确认供应商、价格及交期并完成PR转PO,采购,P003;P012,待处理
EXC0007,产品,P009,华东工厂,DEMAND_DROP,Medium,46.0,净变化=-1200，变化率=-36.7%,客户需求或计划版本变化,复核在途PO并评估取消/降量,主计划,P009,待处理
EXC0004,产品,P006,华南工厂,DEMAND_SURGE,Medium,44.7,净变化=1300，变化率=32.4%,客户需求或计划版本变化,展开BOM并执行增量齐套检查,主计划,P006,待处理
EXC0001,产品,P001,华东工厂,DEMAND_SURGE,Medium,41.6,净变化=1800，变化率=21.9%,客户需求或计划版本变化,展开BOM并执行增量齐套检查,主计划,P001,待处理
EXC0002,产品,P002,华南工厂,DEMAND_DROP,Medium,38.9,净变化=-1600，变化率=-13.1%,客户需求或计划版本变化,复核在途PO并评估取消/降量,主计划,P002,待处理
EXC0008,产品,P010,华南工厂,DEMAND_SURGE,Medium,38.5,净变化=1500，变化率=11.7%,客户需求或计划版本变化,展开BOM并执行增量齐套检查,主计划,P010,待处理
EXC0129,物料,M0049,华东工厂,INVENTORY_EXCESS_RISK,Critical,80,12周需求=13768，库存=25356，在途PO=11014，决策冗余=19963，冗余金额=1345705.83,结构性/呆滞冗余,P0:取消/减量未锁定PO 3855；P1:延期在途PO至滚动需求窗口外 2754；P4:ECN切换消耗 11793；P6:长期消耗/计提/报废评审 1561,计划/MC/采购,P009,待处理
EXC0130,物料,M0041,华南工厂,INVENTORY_EXCESS_RISK,High,70,12周需求=1618，库存=2979，在途PO=1294，决策冗余=2345，冗余金额=618493.75,可转移/可切换冗余,P0:取消/减量未锁定PO 453；P1:延期在途PO至滚动需求窗口外 324；P4:ECN切换消耗 1568,计划/MC/采购,P008,待处理
EXC0131,物料,M0045,华东工厂,INVENTORY_EXCESS_RISK,High,69,12周需求=3442，库存=6338，在途PO=2753，决策冗余=4990，冗余金额=1438217.8,可转移/可切换冗余,P0:取消/减量未锁定PO 964；P1:延期在途PO至滚动需求窗口外 688；P4:ECN切换消耗 3338,计划/MC/采购,P009,待处理
EXC0132,物料,M0042,华南工厂,INVENTORY_EXCESS_RISK,High,69,12周需求=3236，库存=5959，在途PO=2588，决策冗余=4691，冗余金额=775609.94,可转移/可切换冗余,P0:取消/减量未锁定PO 906；P1:延期在途PO至滚动需求窗口外 647；P4:ECN切换消耗 3138,计划/MC/采购,P008,待处理
EXC0133,物料,M0050,华东工厂,INVENTORY_EXCESS_RISK,High,59,12周需求=13768，库存=25356，在途PO=11014，决策冗余=19963，冗余金额=196435.92,可转移/可切换冗余,P0:取消/减量未锁定PO 3855；P1:延期在途PO至滚动需求窗口外 2754；P4:ECN切换消耗 13354,计划/MC/采购,P009,待处理
